Avalanche Demonstration
Plaintext P:  01100001 01100110 01100110 01100101 01100011 01110100 01100101 01100100
Plaintext P': 01100101 01100110 01100110 01100101 01100011 01110100 01100101 01100100
Key K:  01101100 01101111 01101111 01110011 01100101 01101011 01100101 01111001
Key K': 01101100 01101111 01101011 01110011 01100101 01101011 01100101 01111001
Total Running Time: 33(ms)

P and P' under K
Ciphertext C:  11001010 01000001 10010010 11001011 01111011 11000101 01110100 11010001 
Ciphertext C': 10101100 01001110 10000111 11000000 00111111 10110110 10100110 01000100 
Round    DES0  DES1  DES2  DES3
    0       1     1     1     1
    1       8     6     2     6
    2      25    18     3    12
    3      32    31     3    18
    4      35    37     4    25
    5      32    39     5    29
    6      27    37     5    32
    7      34    29     4    37
    8      36    23     5    35
    9      30    29     7    34
   10      32    32     8    33
   11      36    27     7    32
   12      24    29     5    33
   13      24    31     4    31
   14      27    32     3    34
   15      29    34     3    35
   16      29    34     3    35

P under K and K'
Ciphertext C:  11001010 01000001 10010010 11001011 01111011 11000101 01110100 11010001 
Ciphertext C': 00100111 10111001 11011100 10000000 11001001 10101110 11011010 10110010 
Round    DES0  DES1  DES2  DES3
    0       4     0     1     4
    1      20     0     3    10
    2      33     0     5    19
    3      35     0     5    30
    4      30     0     5    30
    5      24     0     6    28
    6      28     0     8    33
    7      33     0     8    34
    8      38     0    11    32
    9      44     0    15    34
   10      37     0    15    29
   11      25     0    14    26
   12      30     0    14    29
   13      35     0    17    33
   14      38     0    18    37
   15      37     0    14    37
   16      37     0    14    37
